SP;TRAT;H;SLA;LT;LDMC;N;P
SF;Ca;2.15;53.48425558;0.295;0.506;11.05;0.66
SF;Ca;2.4;63.69711833;0.2409286;0.605;8.95;0.46
SF;Ca;1.8;54.85441767;0.307;0.494;9.23;0.48
SF;Ca;3;49.70872675;0.399;0.466;10.63;0.48
SF;Ca;1.1;59.38450835;0.243;0.481;12.17;0.63
SF;Ca;1.9;60.67546621;0.296;0.477;11.61;0.51
DM;C;4.5;103.6479401;0.2;0.535;20.98;0.67
DM;C;4;68.64684015;0.226;0.734;18.74;0.67
DM;C;2.1;64.27753304;0.258;0.657;17.34;0.65
DM;C;5.8;90.18181818;0.218;0.507;19.44;0.68
DM;C;2.1;81.39877301;0.202;0.684;19.3;0.57
DM;C;4.2;82.15757576;0.242;0.553;19.44;0.65
DM;C;4.5;89.27407407;0.231;0.544;18.46;0.67
DM;C;3.5;72.89855072;0.23;0.669;18.6;0.66
DM;C;3.7;73.75;0.209;0.779;18.18;0.67
DM;C;3.5;94.83168317;0.286;0.651;20.7;0.64
DM;NP;1.76;89.77777778;0.196;0.565;18.88;0.66
DM;NP;3.2;79.76213592;0.224;0.515;16.64;0.68
DM;NP;2.5;93.02222222;0.154;0.737;19.44;0.71
DM;NP;2.6;95.92;0.239;0.469;17.76;0.64
DM;NP;3.7;79.27966102;0.211;0.572;16.36;0.63
DM;NP;4.4;98.90510949;0.185;0.582;14.55;0.7
DM;NP;4.5;78.6344086;0.21;0.622;18.46;0.71
DM;NP;3.2;82.41081081;0.215;0.856;18.74;0.7
DM;NP;4.2;86.17355372;0.222;0.396;18.04;0.64
DM;NP;3.1;77.9338843;0.209;0.617;19.44;0.67
DM;P;1.6;92.23863636;0.179;0.692;19.44;0.64
DM;P;1.95;89.91823899;0.203;0.604;21.82;0.71
DM;P;5.4;72.51627907;0.245;0.587;17.76;0.67
DM;P;3.2;63.09722222;0.213;0.864;17.34;0.68
DM;P;4.2;84.54958678;0.208;0.612;17.76;0.63
DM;P;2.6;64.8255814;0.205;0.934;22.24;0.77
DM;P;2.5;85.13675214;0.179;0.906;21.12;0.71
DM;P;3.1;82.37704918;0.187;0.859;18.04;0.75
DM;P;4.1;68.80147059;0.208;0.653;17.62;0.59
DM;P;3.2;85.68604651;0.175;0.895;21.4;0.73
DM;N;4.2;71.11016949;0.198;0.874;19.44;0.66
DM;N;4.3;124.8431373;0.184;0.34;18.74;0.62
DM;N;2.5;75.37727273;0.232;0.606;16.64;0.52
DM;N;3.2;101.6850394;0.178;0.59;20.84;0.65
DM;N;3.7;93.90104167;0.215;0.547;22.38;0.61
DM;N;5.1;83.54271357;0.222;0.578;20.7;0.68
DM;N;3.1;75.73529412;0.197;0.733;20.14;0.65
DM;N;3.4;73.64534884;0.213;0.707;20;0.72
DM;N;2.3;72.72477064;0.188;0.741;20.56;0.74
DM;N;3.3;74.3125;0.185;0.836;15.1;0.51
DM;Ca;3.8;85.88235294;0.225;0.534;18.74;0.6
DM;Ca;2.1;82.36538462;0.204;0.53;18.74;0.62
DM;Ca;3.5;89.53631285;0.228;0.469;19.16;0.74
DM;Ca;4;87.07627119;0.247;0.489;15.8;0.61
DM;Ca;4.2;73.28169014;0.288;0.52;16.92;0.64
DM;Ca;3.4;77.78640777;0.218;0.628;19.02;0.67
DM;Ca;3.3;92.44565217;0.206;0.582;17.76;0.52
DM;Ca;2.9;85.11888112;0.237;0.55;15.52;0.53
DM;Ca;3.4;73.26495726;0.195;0.661;16.78;0.61
DM;Ca;3.3;77.14583333;0.253;0.582;16.92;0.56
MA;C;1.8;56.05952381;0.231;0.549;10.91;0.34
MA;C;2;56.74456163;0.224;0.543;12.03;0.33
MA;C;1.2;72.50604595;0.192;0.496;14.69;0.57
MA;C;1.78;62.45218244;0.227;0.527;15.8;0.41
MA;C;2;55.9814433;0.225;0.558;12.59;0.33
MA;C;2.2;54.26124567;0.252;0.546;13.43;0.4
MA;C;1.7;45.56827009;0.253;0.556;9.37;0.31
MA;C;1.8;62.20165563;0.207;0.535;15.24;0.4
MA;C;2.2;54.56942753;0.253;0.528;10.07;0.36
MA;C;1.2;61.51788321;0.212;0.546;13.85;0.4
MA;NP;1.66;60.91537986;0.234;0.511;11.47;0.51
MA;NP;1.75;48.8899384;0.267;0.569;11.05;0.36
MA;NP;1.77;51.2310536;0.302;0.559;10.91;0.39
MA;NP;1.46;55.58879392;0.269;0.553;11.05;0.45
MA;NP;1.83;60.96324786;0.243;0.524;10.63;0.47
MA;NP;1.7;49.98375569;0.275;0.541;12.17;0.41
MA;NP;1.55;51.72478336;0.271;0.521;13.71;0.61
MA;NP;1.4;51.45451224;0.267;0.541;12.45;0.51
MA;NP;1.2;59.9168578;0.287;0.474;13.43;0.51
MA;NP;1.84;57.38246628;0.24;0.537;12.59;0.51
MA;P;1.4;51.63897191;0.263;0.568;12.45;0.55
MA;P;1.8;51.1891638;0.26;0.576;12.17;0.47
MA;P;1.7;61.37645037;0.236;0.553;11.61;0.48
MA;P;1.7;55.81659789;0.256;0.569;11.89;0.39
MA;P;2;55.95067906;0.227;0.573;11.89;0.64
MA;P;1.79;61.11747851;0.235;0.537;11.89;0.56
MA;P;1.8;50.37647059;0.259;0.556;11.19;0.37
MA;P;1.46;60.04386646;0.232;0.544;13.01;0.57
MA;P;1.7;56.81460934;0.262;0.543;11.47;0.5
MA;P;1.5;54.14391865;0.243;0.537;11.33;0.55
MA;N;1.7;46.28202204;0.297;0.562;11.05;0.28
MA;N;1.7;50.83984116;0.258;0.564;12.17;0.32
MA;N;1.7;58.04752066;0.23;0.541;13.85;0.46
MA;N;1.9;48.03517382;0.261;0.588;12.45;0.41
MA;N;1.65;56.43090062;0.23;0.564;11.05;0.37
MA;N;1.8;47.02340622;0.296;0.569;11.75;0.4
MA;N;1.65;59.3757349;0.217;0.538;13.99;0.39
MA;N;1.8;51.12539964;0.252;0.555;12.73;0.39
MA;N;1.2;53.15344828;0.268;0.566;11.89;0.36
MA;N;1.42;55.07479103;0.251;0.559;10.63;0.45
MA;Ca;1.5;51.31836148;0.264;0.502;10.21;0.43
MA;Ca;1.3;55.6672326;0.267;0.504;14.69;0.53
MA;Ca;1.07;63.80811078;0.21;0.533;12.45;0.44
MA;Ca;1.4;61.2874368;0.23;0.505;10.63;0.39
MA;Ca;1.41;46.95386961;0.305;0.509;10.91;0.46
MA;Ca;1.75;74.74902131;0.253;0.405;11.89;0.43
MA;Ca;1.7;;0.23;;13.01;0.38
MA;Ca;1.67;57.69591346;0.261;0.484;10.49;0.37
MA;Ca;1.65;57.03370787;0.215;0.486;9.93;0.49
MA;Ca;1.1;66.01657;0.234;0.505;10.49;0.32
RI;C;2.1;55.17437252;0.243;0.553;14.83;0.62
RI;C;1.81;55.61941252;0.247;0.537;13.99;0.61
RI;C;0.9;77.83621684;0.174;0.597;16.64;0.66
RI;C;1.5;76.42857143;0.194;0.593;13.85;0.65
RI;C;1.4;60.92675405;0.234;0.581;13.99;0.61
RI;C;1.8;66.0201005;0.175;0.649;17.34;0.75
RI;C;1.3;58.42485784;0.184;0.62;13.01;0.58
RI;C;1.4;84.4321608;0.14;0.649;15.66;0.68
RI;C;1.6;63.66495836;0.198;0.543;14.55;0.59
RI;C;1.36;81.10078387;0.139;0.655;14.13;0.62
RI;NP;1.8;79.47799511;0.178;0.577;14.13;0.59
RI;NP;1.3;66.3959205;0.204;0.559;14.27;0.7
RI;NP;1.54;66.01726519;0.194;0.569;15.66;0.74
RI;NP;1.56;58.5898191;0.218;0.498;14.83;0.73
RI;NP;1.5;68.3472631;0.203;0.541;14.69;0.68
RI;NP;1.2;64.38477612;0.227;0.489;12.73;0.63
RI;NP;1.4;66.03209459;0.244;0.527;14.13;0.66
RI;NP;1.78;73.60461957;0.184;0.525;12.45;0.59
RI;NP;1.8;61.41159279;0.249;0.553;12.73;0.65
RI;NP;1.5;56.59267949;0.236;0.535;15.38;0.69
RI;P;1.75;59.11399549;0.258;0.611;15.38;0.71
RI;P;1.44;65.73684211;0.233;0.63;11.75;0.71
RI;P;2.1;62.74591058;0.203;0.538;14.27;0.68
RI;P;1.75;50.60195853;0.257;0.584;14.55;0.65
RI;P;1.9;61.25162818;0.185;0.604;14.13;0.65
RI;P;1.7;51.12983425;0.236;0.745;14.69;0.66
RI;P;0.9;58.78298887;0.229;0.633;13.85;0.7
RI;P;1.4;65.26731079;0.218;0.617;15.52;0.68
RI;P;1.1;58.3317498;0.28;0.671;13.15;0.65
RI;P;1.65;57.2456979;0.215;0.744;14.41;0.68
RI;N;1.4;76.54683196;0.178;0.657;14.83;0.7
RI;N;1.4;63.53934192;0.188;0.625;13.15;0.66
RI;N;0.83;81.35905045;0.155;0.71;14.13;0.64
RI;N;1.4;81.29845626;0.168;0.497;14.69;0.69
RI;N;1.54;67.42111437;0.174;0.596;15.24;0.62
RI;N;1.1;64.63971631;0.208;0.569;12.17;0.53
RI;N;1.21;62.91468417;0.192;0.52;14.41;0.67
RI;N;1.3;78.57623948;0.161;0.633;15.52;0.69
RI;N;1.93;85.6718507;0.166;0.646;14.27;0.71
RI;N;1.2;64.3956422;0.244;0.704;15.38;0.63
RI;Ca;1.65;66.0073723;0.19;0.561;13.29;0.66
RI;Ca;1.8;54.82256236;0.259;0.59;12.31;0.66
RI;Ca;1.4;66.42976356;0.184;0.581;13.15;0.57
RI;Ca;1.7;70.43069307;0.214;0.574;13.15;0.62
RI;Ca;0.7;72.21601208;0.219;0.591;12.17;0.61
RI;Ca;1.7;65.8128453;0.205;0.517;11.33;0.55
RI;Ca;1.77;58.81429526;0.196;0.615;13.85;0.69
RI;Ca;2.4;66.87683284;0.209;0.548;10.91;0.57
RI;Ca;1.81;83.64963504;0.152;0.613;11.61;0.57
RI;Ca;1.7;69.14215686;0.171;0.64;12.31;0.59
OH;C;1.17;70.32685792;0.214;0.485;12.31;0.55
OH;C;1;72.13384924;0.178;0.55;10.77;0.56
OH;C;1.1;63.26611279;0.218;0.514;13.71;0.56
OH;C;1.1;54.91657867;0.256;0.569;11.33;0.43
OH;C;1.2;79.02869506;0.173;0.509;13.01;0.49
OH;C;1.4;78.79381044;0.171;0.539;12.03;0.46
OH;C;1.1;74.7005988;0.216;0.485;14.27;0.56
OH;C;1;66.26457399;0.228;0.52;13.99;0.56
OH;C;1.05;61.07782673;0.208;0.565;16.22;0.54
OH;C;0.9;64.95936553;0.235;0.522;13.85;0.62
OH;NP;1.24;46.75756976;0.188;0.545;13.01;0.61
OH;NP;1.24;70.96549618;0.185;0.521;10.21;0.57
OH;NP;1;67.76741294;0.19;0.56;15.52;0.6
OH;NP;1.53;73.07050285;0.216;0.505;12.73;0.61
OH;NP;0.9;69.68710191;0.218;0.532;13.01;0.54
OH;NP;1.23;67.1741476;0.216;0.509;11.47;0.52
OH;NP;1.75;88.50382003;0.197;0.45;13.43;0.84
OH;NP;0.74;74.32621671;0.204;0.538;11.33;0.56
OH;NP;0.8;89.60428177;0.214;0.47;13.15;0.74
OH;P;0.9;66.77416021;0.233;0.543;10.35;0.61
OH;P;0.8;69.00089397;0.184;0.573;12.45;0.6
OH;P;1.81;66.33901567;0.237;0.535;9.79;0.66
OH;P;1.7;60.02445492;0.215;0.531;11.47;0.68
OH;P;1.1;35.74413306;0.214;0.534;10.91;0.49
OH;P;1;71.34550562;0.22;0.531;12.17;0.66
OH;P;1.85;64.32867982;0.208;0.545;12.03;0.67
OH;P;0.7;69.92296007;0.224;0.532;9.51;0.51
OH;P;1.25;63.79381979;0.245;0.558;8.81;0.59
OH;P;1.8;58.36797121;0.209;0.562;9.93;0.68
OH;N;0.9;76.53243127;0.193;0.567;8.95;0.5
OH;N;0.8;69.97225225;0.215;0.578;12.73;0.53
OH;N;0.7;57.36264706;0.236;0.592;14.55;0.52
OH;N;1.34;68.47583082;0.216;0.548;8.53;0.49
OH;N;1.65;54.87490679;0.298;0.518;13.15;0.46
OH;N;1.7;60.9626683;0.234;0.541;12.03;0.55
OH;N;1.09;63.05519197;0.227;0.561;11.61;0.5
OH;N;1;74.70764218;0.203;0.53;12.87;0.59
OH;N;1.54;69.44028103;0.227;0.486;8.53;0.61
OH;N;1.67;61.10571878;0.258;0.558;11.61;0.61
OH;Ca;1.6;69.5655416;0.205;0.514;11.61;0.57
OH;Ca;1.1;76.15667525;0.193;0.505;9.79;0.5
OH;Ca;1;73.02109819;0.196;0.51;10.07;0.5
